trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLevelOrig,batteryLow,batteryVoltage,lqi,manufacturer,model,motionStatus,ppc.charging,rssi,tamper,
8,10038,1fef000100976d28,Stair Motion Sensor,1574045743721,2019-11-18T02:55:43.721Z,11/18/2019 02:55:43,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574045765674,2019-11-18T02:56:05.674Z,11/18/2019 02:56:05,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574045773909,2019-11-18T02:56:13.909Z,11/18/2019 02:56:13,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574045800648,2019-11-18T02:56:40.648Z,11/18/2019 02:56:40,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574046146247,2019-11-18T03:02:26.247Z,11/18/2019 03:02:26,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574046163226,2019-11-18T03:02:43.226Z,11/18/2019 03:02:43,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574046164827,2019-11-18T03:02:44.827Z,11/18/2019 03:02:44,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574046212225,2019-11-18T03:03:32.225Z,11/18/2019 03:03:32,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574046224693,2019-11-18T03:03:44.693Z,11/18/2019 03:03:44,0,100,100,0,2.9,180,samjin,motion,1,0,-61,0,
8,10038,1fef000100976d28,Stair Motion Sensor,1574046282751,2019-11-18T03:04:42.751Z,11/18/2019 03:04:42,0,100,100,0,2.9,180,samjin,motion,0,0,-61,0,
