trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLevelOrig,batteryLow,batteryVoltage,deviceVersion,lqi,manufacturer,model,ppc.charging,rssi,tamper,waterFrozen,waterLeak,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574081567193,2019-11-18T12:52:47.193Z,11/18/2019 12:52:47,0,100,80,0,2.9,2C.01.14,176,greenpeak,gpd,0,-62,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574082467252,2019-11-18T13:07:47.252Z,11/18/2019 13:07:47,0,100,80,0,2.9,2C.01.14,196,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574083367010,2019-11-18T13:22:47.010Z,11/18/2019 13:22:47,0,100,80,0,2.9,2C.01.14,200,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574084267059,2019-11-18T13:37:47.059Z,11/18/2019 13:37:47,0,100,80,0,2.9,2C.01.14,196,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574085167049,2019-11-18T13:52:47.049Z,11/18/2019 13:52:47,0,100,80,0,2.9,2C.01.14,204,greenpeak,gpd,0,-57,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574086066989,2019-11-18T14:07:46.989Z,11/18/2019 14:07:46,0,100,80,0,2.9,2C.01.14,200,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574086966935,2019-11-18T14:22:46.935Z,11/18/2019 14:22:46,0,100,80,0,2.9,2C.01.14,176,greenpeak,gpd,0,-62,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574087867253,2019-11-18T14:37:47.253Z,11/18/2019 14:37:47,0,100,80,0,2.9,2C.01.14,200,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574088766982,2019-11-18T14:52:46.982Z,11/18/2019 14:52:46,0,100,80,0,2.9,2C.01.14,176,greenpeak,gpd,0,-62,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574089667175,2019-11-18T15:07:47.175Z,11/18/2019 15:07:47,0,100,80,0,2.9,2C.01.14,200,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574090566869,2019-11-18T15:22:46.869Z,11/18/2019 15:22:46,0,100,80,0,2.9,2C.01.14,204,greenpeak,gpd,0,-57,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574091466740,2019-11-18T15:37:46.740Z,11/18/2019 15:37:46,0,100,80,0,2.9,2C.01.14,204,greenpeak,gpd,0,-57,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574092366737,2019-11-18T15:52:46.737Z,11/18/2019 15:52:46,0,100,80,0,2.9,2C.01.14,180,greenpeak,gpd,0,-61,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574093266776,2019-11-18T16:07:46.776Z,11/18/2019 16:07:46,0,100,80,0,2.9,2C.01.14,204,greenpeak,gpd,0,-57,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574094166753,2019-11-18T16:22:46.753Z,11/18/2019 16:22:46,0,100,80,0,2.9,2C.01.14,200,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574095066862,2019-11-18T16:37:46.862Z,11/18/2019 16:37:46,0,100,80,0,2.9,2C.01.14,204,greenpeak,gpd,0,-57,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574095966817,2019-11-18T16:52:46.817Z,11/18/2019 16:52:46,0,100,80,0,2.9,2C.01.14,196,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574096866650,2019-11-18T17:07:46.650Z,11/18/2019 17:07:46,0,100,80,0,2.9,2C.01.14,192,greenpeak,gpd,0,-59,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574097766616,2019-11-18T17:22:46.616Z,11/18/2019 17:22:46,0,100,80,0,2.9,2C.01.14,196,greenpeak,gpd,0,-58,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574098666719,2019-11-18T17:37:46.719Z,11/18/2019 17:37:46,0,100,80,0,2.9,2C.01.14,192,greenpeak,gpd,0,-59,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574099566510,2019-11-18T17:52:46.510Z,11/18/2019 17:52:46,0,100,80,0,2.9,2C.01.14,188,greenpeak,gpd,0,-60,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574100466545,2019-11-18T18:07:46.545Z,11/18/2019 18:07:46,0,100,80,0,2.9,2C.01.14,192,greenpeak,gpd,0,-59,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574102266384,2019-11-18T18:37:46.384Z,11/18/2019 18:37:46,0,100,80,0,2.9,2C.01.14,192,greenpeak,gpd,0,-59,1,0,0,
8,10017,FFFFFFFF00604f2a,Kids bath Water Sensor,1574103166526,2019-11-18T18:52:46.526Z,11/18/2019 18:52:46,0,100,80,0,2.9,2C.01.14,188,greenpeak,gpd,0,-60,1,0,0,
