trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryLevel,batteryVoltage,degC,deviceVersion,lqi,manufacturer,model,relativeHumidity,rssi,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574051152156,2019-11-18T04:25:52.156Z,11/18/2019 04:25:52,75,2.6,23.2,12.26.01,132,greenpeak,gpd,46,-69,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574052052594,2019-11-18T04:40:52.594Z,11/18/2019 04:40:52,75,2.6,23.2,12.26.01,144,greenpeak,gpd,50,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574052053207,2019-11-18T04:40:53.207Z,11/18/2019 04:40:53,75,2.6,23.1,12.26.01,92,greenpeak,gpd,50,-75,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574052954039,2019-11-18T04:55:54.039Z,11/18/2019 04:55:54,75,2.6,23.1,12.26.01,144,greenpeak,gpd,51,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574052954567,2019-11-18T04:55:54.567Z,11/18/2019 04:55:54,75,2.6,23.1,12.26.01,100,greenpeak,gpd,51,-74,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574053255195,2019-11-18T05:00:55.195Z,11/18/2019 05:00:55,75,2.6,23.1,12.26.01,140,greenpeak,gpd,51,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574053855098,2019-11-18T05:10:55.098Z,11/18/2019 05:10:55,75,2.6,23.1,12.26.01,144,greenpeak,gpd,49,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574053855778,2019-11-18T05:10:55.778Z,11/18/2019 05:10:55,75,2.6,22.9,12.26.01,144,greenpeak,gpd,49,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574054756277,2019-11-18T05:25:56.277Z,11/18/2019 05:25:56,75,2.6,22.9,12.26.01,96,greenpeak,gpd,48,-75,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574054757097,2019-11-18T05:25:57.097Z,11/18/2019 05:25:57,75,2.6,22.7,12.26.01,144,greenpeak,gpd,48,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574055657906,2019-11-18T05:40:57.906Z,11/18/2019 05:40:57,75,2.6,22.7,12.26.01,144,greenpeak,gpd,48,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574055658452,2019-11-18T05:40:58.452Z,11/18/2019 05:40:58,75,2.6,22.5,12.26.01,96,greenpeak,gpd,48,-75,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574056558960,2019-11-18T05:55:58.960Z,11/18/2019 05:55:58,75,2.6,22.5,12.26.01,92,greenpeak,gpd,48,-75,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574056559736,2019-11-18T05:55:59.736Z,11/18/2019 05:55:59,75,2.6,22.4,12.26.01,100,greenpeak,gpd,48,-74,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574057460143,2019-11-18T06:11:00.143Z,11/18/2019 06:11:00,75,2.6,22.4,12.26.01,140,greenpeak,gpd,48,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574057460988,2019-11-18T06:11:00.988Z,11/18/2019 06:11:00,75,2.6,22.3,12.26.01,144,greenpeak,gpd,48,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574058361496,2019-11-18T06:26:01.496Z,11/18/2019 06:26:01,75,2.6,22.3,12.26.01,144,greenpeak,gpd,48,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574058362392,2019-11-18T06:26:02.392Z,11/18/2019 06:26:02,75,2.6,22.2,12.26.01,96,greenpeak,gpd,48,-75,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574059262865,2019-11-18T06:41:02.865Z,11/18/2019 06:41:02,75,2.6,22.2,12.26.01,100,greenpeak,gpd,48,-74,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574059263562,2019-11-18T06:41:03.562Z,11/18/2019 06:41:03,75,2.6,22.1,12.26.01,100,greenpeak,gpd,48,-74,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574060164180,2019-11-18T06:56:04.180Z,11/18/2019 06:56:04,75,2.6,22.1,12.26.01,144,greenpeak,gpd,48,-67,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574060164855,2019-11-18T06:56:04.855Z,11/18/2019 06:56:04,75,2.6,22.0,12.26.01,100,greenpeak,gpd,48,-74,
8,10034,FFFFFFFF006f01c8,Stove hood temp sensor,1574061065428,2019-11-18T07:11:05.428Z,11/18/2019 07:11:05,75,2.6,22.0,12.26.01,144,greenpeak,gpd,48,-67,
