trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLow,batteryVoltage,deviceVersion,doorStatus,lqi,manufacturer,model,ppc.charging,rssi,tamper,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574075311544,2019-11-18T11:08:31.544Z,11/18/2019 11:08:31,0,75,0,2.6,13.26.01,0,108,greenpeak,gpd,0,-73,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574075374851,2019-11-18T11:09:34.851Z,11/18/2019 11:09:34,0,75,0,2.6,13.26.01,1,72,greenpeak,gpd,0,-79,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574075379859,2019-11-18T11:09:39.859Z,11/18/2019 11:09:39,0,75,0,2.6,13.26.01,0,100,greenpeak,gpd,0,-74,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574076211652,2019-11-18T11:23:31.652Z,11/18/2019 11:23:31,0,75,0,2.6,13.26.01,0,104,greenpeak,gpd,0,-73,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574077111621,2019-11-18T11:38:31.621Z,11/18/2019 11:38:31,0,75,0,2.6,13.26.01,0,112,greenpeak,gpd,0,-72,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574078011645,2019-11-18T11:53:31.645Z,11/18/2019 11:53:31,0,75,0,2.6,13.26.01,0,124,greenpeak,gpd,0,-70,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574078911511,2019-11-18T12:08:31.511Z,11/18/2019 12:08:31,0,75,0,2.6,13.26.01,0,80,greenpeak,gpd,0,-77,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574079811538,2019-11-18T12:23:31.538Z,11/18/2019 12:23:31,0,75,0,2.6,13.26.01,0,64,greenpeak,gpd,0,-80,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574080711593,2019-11-18T12:38:31.593Z,11/18/2019 12:38:31,0,75,0,2.6,13.26.01,0,68,greenpeak,gpd,0,-79,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574081611365,2019-11-18T12:53:31.365Z,11/18/2019 12:53:31,0,75,0,2.6,13.26.01,0,72,greenpeak,gpd,0,-79,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574082511509,2019-11-18T13:08:31.509Z,11/18/2019 13:08:31,0,75,0,2.6,13.26.01,0,20,greenpeak,gpd,0,-87,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574083411559,2019-11-18T13:23:31.559Z,11/18/2019 13:23:31,0,75,0,2.6,13.26.01,0,72,greenpeak,gpd,0,-79,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574084311394,2019-11-18T13:38:31.394Z,11/18/2019 13:38:31,0,75,0,2.6,13.26.01,0,68,greenpeak,gpd,0,-79,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574085211983,2019-11-18T13:53:31.983Z,11/18/2019 13:53:31,0,75,0,2.6,13.26.01,0,72,greenpeak,gpd,0,-79,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574088750988,2019-11-18T14:52:30.988Z,11/18/2019 14:52:30,0,75,0,2.6,13.26.01,0,72,greenpeak,gpd,0,-79,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574088811940,2019-11-18T14:53:31.940Z,11/18/2019 14:53:31,0,75,0,2.6,13.26.01,0,68,greenpeak,gpd,0,-79,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574089711906,2019-11-18T15:08:31.906Z,11/18/2019 15:08:31,0,75,0,2.6,13.26.01,0,72,greenpeak,gpd,0,-79,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574090611388,2019-11-18T15:23:31.388Z,11/18/2019 15:23:31,0,75,0,2.6,13.26.01,0,68,greenpeak,gpd,0,-79,0,
8,10014,FFFFFFFF006eb624,Microwave Door Sensor,1574091511294,2019-11-18T15:38:31.294Z,11/18/2019 15:38:31,0,75,0,2.6,13.26.01,0,72,greenpeak,gpd,0,-79,0,
