trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryLevel,batteryLevelOrig,batteryVoltage,degC,lqi,manufacturer,model,rssi,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574090755999,2019-11-18T15:25:55.999Z,11/18/2019 15:25:55,100,60,2.9,24.0,160,greenpeak,gpd,-64,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574091655926,2019-11-18T15:40:55.926Z,11/18/2019 15:40:55,100,60,2.9,24.0,128,greenpeak,gpd,-69,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574092555963,2019-11-18T15:55:55.963Z,11/18/2019 15:55:55,100,60,2.9,24.0,128,greenpeak,gpd,-69,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574093455908,2019-11-18T16:10:55.908Z,11/18/2019 16:10:55,100,60,2.9,24.0,164,greenpeak,gpd,-63,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574094355847,2019-11-18T16:25:55.847Z,11/18/2019 16:25:55,100,60,2.9,24.0,164,greenpeak,gpd,-63,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574095255858,2019-11-18T16:40:55.858Z,11/18/2019 16:40:55,100,60,2.9,24.0,160,greenpeak,gpd,-64,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574096155610,2019-11-18T16:55:55.610Z,11/18/2019 16:55:55,100,60,2.9,24.0,164,greenpeak,gpd,-63,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574097055617,2019-11-18T17:10:55.617Z,11/18/2019 17:10:55,100,60,2.9,24.0,116,greenpeak,gpd,-71,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574097955598,2019-11-18T17:25:55.598Z,11/18/2019 17:25:55,100,60,2.9,24.0,152,greenpeak,gpd,-65,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574098855567,2019-11-18T17:40:55.567Z,11/18/2019 17:40:55,100,60,2.9,24.0,152,greenpeak,gpd,-65,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574099755579,2019-11-18T17:55:55.579Z,11/18/2019 17:55:55,100,60,2.9,25.0,156,greenpeak,gpd,-65,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574100655414,2019-11-18T18:10:55.414Z,11/18/2019 18:10:55,100,60,2.9,24.0,156,greenpeak,gpd,-65,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574101555483,2019-11-18T18:25:55.483Z,11/18/2019 18:25:55,100,60,2.9,24.0,156,greenpeak,gpd,-65,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574102455476,2019-11-18T18:40:55.476Z,11/18/2019 18:40:55,100,60,2.9,24.0,124,greenpeak,gpd,-70,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574103355340,2019-11-18T18:55:55.340Z,11/18/2019 18:55:55,100,60,2.9,24.0,152,greenpeak,gpd,-65,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574104255361,2019-11-18T19:10:55.361Z,11/18/2019 19:10:55,100,60,2.9,24.0,124,greenpeak,gpd,-70,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574105155287,2019-11-18T19:25:55.287Z,11/18/2019 19:25:55,100,60,2.9,24.0,120,greenpeak,gpd,-71,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574106055349,2019-11-18T19:40:55.349Z,11/18/2019 19:40:55,100,60,2.9,24.0,156,greenpeak,gpd,-65,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574106955132,2019-11-18T19:55:55.132Z,11/18/2019 19:55:55,100,60,2.9,24.0,108,greenpeak,gpd,-73,
8,10033,FFFFFFFF0060f700,Oven TempHumid Sensor 91819,1574107855219,2019-11-18T20:10:55.219Z,11/18/2019 20:10:55,100,60,2.9,24.0,152,greenpeak,gpd,-65,
