trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLevelOrig,batteryLow,batteryVoltage,doorStatus,lqi,manufacturer,model,ppc.charging,rssi,tamper,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574116722664,2019-11-18T22:38:42.664Z,11/18/2019 22:38:42,0,10,40,0,2.5,1,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574116725750,2019-11-18T22:38:45.750Z,11/18/2019 22:38:45,0,10,40,0,2.5,0,216,greenpeak,gpd,0,-55,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574116748500,2019-11-18T22:39:08.500Z,11/18/2019 22:39:08,0,10,40,0,2.5,1,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574116751353,2019-11-18T22:39:11.353Z,11/18/2019 22:39:11,0,10,40,0,2.5,0,220,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574116856768,2019-11-18T22:40:56.768Z,11/18/2019 22:40:56,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574117317070,2019-11-18T22:48:37.070Z,11/18/2019 22:48:37,0,10,40,0,2.5,1,228,greenpeak,gpd,0,-53,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574117321681,2019-11-18T22:48:41.681Z,11/18/2019 22:48:41,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574117759616,2019-11-18T22:55:59.616Z,11/18/2019 22:55:59,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574118171114,2019-11-18T23:02:51.114Z,11/18/2019 23:02:51,0,10,40,0,2.5,1,188,greenpeak,gpd,0,-60,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574118190818,2019-11-18T23:03:10.818Z,11/18/2019 23:03:10,0,10,40,0,2.5,0,224,greenpeak,gpd,0,-54,1,
8,10014,FFFFFFFF00614f82,Entry sensor Garage internal,1574121630251,2019-11-19T00:00:30.251Z,11/19/2019 00:00:30,0,10,40,0,2.5,1,224,greenpeak,gpd,0,-54,1,
