trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLow,batteryVoltage,deviceVersion,lqi,manufacturer,model,motionStatus,ppc.charging,rssi,tamper,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041924975,2019-11-18T01:52:04.975Z,11/18/2019 01:52:04,0,100,0,3.0,13.26.01,212,greenpeak,gpd,0,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041928293,2019-11-18T01:52:08.293Z,11/18/2019 01:52:08,0,100,0,3.0,13.26.01,196,greenpeak,gpd,1,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041936008,2019-11-18T01:52:16.008Z,11/18/2019 01:52:16,0,100,0,3.0,13.26.01,212,greenpeak,gpd,0,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041942766,2019-11-18T01:52:22.766Z,11/18/2019 01:52:22,0,100,0,3.0,13.26.01,196,greenpeak,gpd,1,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041958617,2019-11-18T01:52:38.617Z,11/18/2019 01:52:38,0,100,0,3.0,13.26.01,204,greenpeak,gpd,0,0,-57,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041970866,2019-11-18T01:52:50.866Z,11/18/2019 01:52:50,0,100,0,3.0,13.26.01,208,greenpeak,gpd,1,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574041974902,2019-11-18T01:52:54.902Z,11/18/2019 01:52:54,0,100,0,3.0,13.26.01,216,greenpeak,gpd,0,0,-55,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574042874883,2019-11-18T02:07:54.883Z,11/18/2019 02:07:54,0,100,0,3.0,13.26.01,208,greenpeak,gpd,0,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574043775826,2019-11-18T02:22:55.826Z,11/18/2019 02:22:55,0,100,0,3.0,13.26.01,208,greenpeak,gpd,0,0,-56,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574044674798,2019-11-18T02:37:54.798Z,11/18/2019 02:37:54,0,100,0,3.0,13.26.01,204,greenpeak,gpd,0,0,-57,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574045574890,2019-11-18T02:52:54.890Z,11/18/2019 02:52:54,0,100,0,3.0,13.26.01,204,greenpeak,gpd,0,0,-57,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574046474748,2019-11-18T03:07:54.748Z,11/18/2019 03:07:54,0,100,0,3.0,13.26.01,196,greenpeak,gpd,0,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574046547849,2019-11-18T03:09:07.849Z,11/18/2019 03:09:07,0,100,0,3.0,13.26.01,200,greenpeak,gpd,1,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574046555862,2019-11-18T03:09:15.862Z,11/18/2019 03:09:15,0,100,0,3.0,13.26.01,196,greenpeak,gpd,0,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574046587647,2019-11-18T03:09:47.647Z,11/18/2019 03:09:47,0,100,0,3.0,13.26.01,196,greenpeak,gpd,1,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574046595569,2019-11-18T03:09:55.569Z,11/18/2019 03:09:55,0,100,0,3.0,13.26.01,200,greenpeak,gpd,0,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574046596960,2019-11-18T03:09:56.960Z,11/18/2019 03:09:56,0,100,0,3.0,13.26.01,196,greenpeak,gpd,1,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574046604831,2019-11-18T03:10:04.831Z,11/18/2019 03:10:04,0,100,0,3.0,13.26.01,196,greenpeak,gpd,0,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574046631298,2019-11-18T03:10:31.298Z,11/18/2019 03:10:31,0,100,0,3.0,13.26.01,192,greenpeak,gpd,1,0,-59,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574046637311,2019-11-18T03:10:37.311Z,11/18/2019 03:10:37,0,100,0,3.0,13.26.01,192,greenpeak,gpd,0,0,-59,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574046656005,2019-11-18T03:10:56.005Z,11/18/2019 03:10:56,0,100,0,3.0,13.26.01,196,greenpeak,gpd,1,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574046663929,2019-11-18T03:11:03.929Z,11/18/2019 03:11:03,0,100,0,3.0,13.26.01,192,greenpeak,gpd,0,0,-59,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574046770434,2019-11-18T03:12:50.434Z,11/18/2019 03:12:50,0,100,0,3.0,13.26.01,196,greenpeak,gpd,0,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574046804907,2019-11-18T03:13:24.907Z,11/18/2019 03:13:24,0,100,0,3.0,13.26.01,204,greenpeak,gpd,1,0,-57,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574046810749,2019-11-18T03:13:30.749Z,11/18/2019 03:13:30,0,100,0,3.0,13.26.01,200,greenpeak,gpd,0,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574046817217,2019-11-18T03:13:37.217Z,11/18/2019 03:13:37,0,100,0,3.0,13.26.01,200,greenpeak,gpd,1,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574046821077,2019-11-18T03:13:41.077Z,11/18/2019 03:13:41,0,100,0,3.0,13.26.01,192,greenpeak,gpd,0,0,-59,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574047342606,2019-11-18T03:22:22.606Z,11/18/2019 03:22:22,0,100,0,3.0,13.26.01,204,greenpeak,gpd,1,0,-57,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574047348529,2019-11-18T03:22:28.529Z,11/18/2019 03:22:28,0,100,0,3.0,13.26.01,196,greenpeak,gpd,0,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574047352337,2019-11-18T03:22:32.337Z,11/18/2019 03:22:32,0,100,0,3.0,13.26.01,196,greenpeak,gpd,1,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574047356210,2019-11-18T03:22:36.210Z,11/18/2019 03:22:36,0,100,0,3.0,13.26.01,200,greenpeak,gpd,0,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574047357629,2019-11-18T03:22:37.629Z,11/18/2019 03:22:37,0,100,0,3.0,13.26.01,192,greenpeak,gpd,1,0,-59,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574047361605,2019-11-18T03:22:41.605Z,11/18/2019 03:22:41,0,100,0,3.0,13.26.01,192,greenpeak,gpd,0,0,-59,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574047367911,2019-11-18T03:22:47.911Z,11/18/2019 03:22:47,0,100,0,3.0,13.26.01,200,greenpeak,gpd,1,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574047373773,2019-11-18T03:22:53.773Z,11/18/2019 03:22:53,0,100,0,3.0,13.26.01,200,greenpeak,gpd,0,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574047989794,2019-11-18T03:33:09.794Z,11/18/2019 03:33:09,0,100,0,3.0,13.26.01,200,greenpeak,gpd,1,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574047999798,2019-11-18T03:33:19.798Z,11/18/2019 03:33:19,0,100,0,3.0,13.26.01,200,greenpeak,gpd,0,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574048033592,2019-11-18T03:33:53.592Z,11/18/2019 03:33:53,0,100,0,3.0,13.26.01,200,greenpeak,gpd,1,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574048037662,2019-11-18T03:33:57.662Z,11/18/2019 03:33:57,0,100,0,3.0,13.26.01,196,greenpeak,gpd,0,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574048137604,2019-11-18T03:35:37.604Z,11/18/2019 03:35:37,0,100,0,3.0,13.26.01,184,greenpeak,gpd,1,0,-60,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574048143529,2019-11-18T03:35:43.529Z,11/18/2019 03:35:43,0,100,0,3.0,13.26.01,200,greenpeak,gpd,0,0,-58,0,
8,10038,FFFFFFFF006eca98,Master Bedroom Motion Sensor,1574048174998,2019-11-18T03:36:14.998Z,11/18/2019 03:36:14,0,100,0,3.0,13.26.01,200,greenpeak,gpd,1,0,-58,0,
