trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryDefect,batteryLevel,batteryLevelOrig,batteryLow,batteryVoltage,lqi,manufacturer,model,motionStatus,ppc.charging,rssi,tamper,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574042158309,2019-11-18T01:55:58.309Z,11/18/2019 01:55:58,0,100,80,0,2.8,224,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574042173922,2019-11-18T01:56:13.922Z,11/18/2019 01:56:13,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574043003584,2019-11-18T02:10:03.584Z,11/18/2019 02:10:03,0,100,80,0,2.8,224,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574043019069,2019-11-18T02:10:19.069Z,11/18/2019 02:10:19,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574043138356,2019-11-18T02:12:18.356Z,11/18/2019 02:12:18,0,100,80,0,2.8,224,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574043153698,2019-11-18T02:12:33.698Z,11/18/2019 02:12:33,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574044710733,2019-11-18T02:38:30.733Z,11/18/2019 02:38:30,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574044805391,2019-11-18T02:40:05.391Z,11/18/2019 02:40:05,0,100,80,0,2.8,220,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574044820786,2019-11-18T02:40:20.786Z,11/18/2019 02:40:20,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574045065457,2019-11-18T02:44:25.457Z,11/18/2019 02:44:25,0,100,80,0,2.8,224,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574045080749,2019-11-18T02:44:40.749Z,11/18/2019 02:44:40,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574045279556,2019-11-18T02:47:59.556Z,11/18/2019 02:47:59,0,100,80,0,2.8,224,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574045294412,2019-11-18T02:48:14.412Z,11/18/2019 02:48:14,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574045295558,2019-11-18T02:48:15.558Z,11/18/2019 02:48:15,0,100,80,0,2.8,224,greenpeak,gpd,1,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574045310877,2019-11-18T02:48:30.877Z,11/18/2019 02:48:30,0,100,80,0,2.8,224,greenpeak,gpd,0,0,-54,0,
8,10038,FFFFFFFF0060ecf8,Family room Motion Detector,1574045480615,2019-11-18T02:51:20.615Z,11/18/2019 02:51:20,0,100,80,0,2.8,224,greenpeak,gpd,1,0,-54,0,
