trigger,device_type,device_id,description,timestamp_ms,timestamp_iso,timestamp_excel,batteryLevel,batteryVoltage,degC,deviceVersion,lqi,manufacturer,model,relativeHumidity,rssi,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574053766814,2019-11-18T05:09:26.814Z,11/18/2019 05:09:26,100,2.8,21.2,12.26.01,104,greenpeak,gpd,53,-73,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574054167763,2019-11-18T05:16:07.763Z,11/18/2019 05:16:07,100,2.8,21.2,12.26.01,68,greenpeak,gpd,53,-79,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574054667211,2019-11-18T05:24:27.211Z,11/18/2019 05:24:27,100,2.8,21.2,12.26.01,104,greenpeak,gpd,53,-73,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574055568626,2019-11-18T05:39:28.626Z,11/18/2019 05:39:28,100,2.8,21.2,12.26.01,104,greenpeak,gpd,53,-73,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574055569322,2019-11-18T05:39:29.322Z,11/18/2019 05:39:29,100,2.8,21.2,12.26.01,72,greenpeak,gpd,53,-79,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574056469804,2019-11-18T05:54:29.804Z,11/18/2019 05:54:29,100,2.8,21.2,12.26.01,104,greenpeak,gpd,53,-73,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574056470575,2019-11-18T05:54:30.575Z,11/18/2019 05:54:30,100,2.8,21.1,12.26.01,100,greenpeak,gpd,53,-74,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574057371004,2019-11-18T06:09:31.004Z,11/18/2019 06:09:31,100,2.8,21.1,12.26.01,100,greenpeak,gpd,53,-74,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574057372008,2019-11-18T06:09:32.008Z,11/18/2019 06:09:32,100,2.8,21.1,12.26.01,68,greenpeak,gpd,53,-79,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574058272352,2019-11-18T06:24:32.352Z,11/18/2019 06:24:32,100,2.8,21.1,12.26.01,100,greenpeak,gpd,53,-74,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574058273280,2019-11-18T06:24:33.280Z,11/18/2019 06:24:33,100,2.8,21.0,12.26.01,72,greenpeak,gpd,53,-79,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574059173762,2019-11-18T06:39:33.762Z,11/18/2019 06:39:33,100,2.8,21.0,12.26.01,104,greenpeak,gpd,53,-73,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574059174589,2019-11-18T06:39:34.589Z,11/18/2019 06:39:34,100,2.8,21.0,12.26.01,72,greenpeak,gpd,53,-79,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574060075053,2019-11-18T06:54:35.053Z,11/18/2019 06:54:35,100,2.8,21.0,12.26.01,104,greenpeak,gpd,53,-73,
8,10034,FFFFFFFF006fbd34,Microwave New TempHumidity Sensor,1574060075704,2019-11-18T06:54:35.704Z,11/18/2019 06:54:35,100,2.8,21.0,12.26.01,72,greenpeak,gpd,53,-79,
