timestamp_ms,timestamp_iso,timestamp_excel,doorStatus,lqi,rssi
1.57415E+12,2019-11-19T07:37:07.887Z,11/19/2019 7:37,0,88,-76
1.57415E+12,2019-11-19T07:52:07.891Z,11/19/2019 7:52,0,84,-77
1.57415E+12,2019-11-19T08:22:10.803Z,11/19/2019 8:22,0,92,-75
1.57415E+12,2019-11-19T08:37:07.861Z,11/19/2019 8:37,0,84,-77
1.57415E+12,2019-11-19T08:52:07.905Z,11/19/2019 8:52,0,92,-75
1.57415E+12,2019-11-19T09:07:07.884Z,11/19/2019 9:07,0,76,-78
1.57416E+12,2019-11-19T09:37:07.764Z,11/19/2019 9:37,0,88,-76
1.57416E+12,2019-11-19T09:52:07.798Z,11/19/2019 9:52,0,84,-77
1.57416E+12,2019-11-19T10:07:07.715Z,11/19/2019 10:07,0,84,-77
1.57416E+12,2019-11-19T10:22:07.769Z,11/19/2019 10:22,0,88,-76
1.57416E+12,2019-11-19T10:52:07.598Z,11/19/2019 10:52,0,32,-85
1.57416E+12,2019-11-19T11:02:58.503Z,11/19/2019 11:02,1,96,-75
1.57416E+12,2019-11-19T11:03:07.973Z,11/19/2019 11:03,1,132,-69
1.57416E+12,2019-11-19T11:03:13.751Z,11/19/2019 11:03,0,80,-77
1.57416E+12,2019-11-19T11:07:07.601Z,11/19/2019 11:07,0,4,-90
1.57416E+12,2019-11-19T11:12:39.470Z,11/19/2019 11:12,1,144,-67
1.57416E+12,2019-11-19T11:12:42.324Z,11/19/2019 11:12,0,24,-86
1.57416E+12,2019-11-19T11:22:07.588Z,11/19/2019 11:22,0,92,-75
1.57416E+12,2019-11-19T11:37:07.628Z,11/19/2019 11:37,0,96,-75
1.57417E+12,2019-11-19T12:07:07.551Z,11/19/2019 12:07,0,56,-81
1.57417E+12,2019-11-19T12:22:07.538Z,11/19/2019 12:22,0,60,-81
1.57417E+12,2019-11-19T12:37:07.573Z,11/19/2019 12:37,0,60,-81
